Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  121    3 0xffffff8001c80000 0x38fff    0x38fff    com.apple.driver.AppleThunderboltDPAdapterFamily (8.5.1) E838E332-3EB9-3BF8-9A94-04F3A66D6A1F <97 7 6 3 1>
  122    0 0xffffff8001cbd000 0x14ffd    0x14ffd    com.apple.driver.AppleThunderboltDPInAdapter (8.5.1) D8FA686B-50CE-309E-B4A3-7159CEA85268 <121 97 17 7 6 3 1>
  123    3 0xffffff8002d84000 0x2ff4     0x2ff4     com.apple.driver.usb.AppleUSBHostCompositeDevice (1.2) A158856B-8D2B-3494-91AE-BD0A1FFD148A <38 36 8 7 6 3 1>
  124    3 0xffffff8001e25000 0x3000     0x3000     com.apple.driver.usb.networking (5.0.0) 0C19A14E-2361-369A-8D13-F5CDE31DF766 <53 38 8 7 6 3 1>
  125    2 0xffffff8001de3000 0x2000     0x2000     com.apple.driver.usb.cdc (5.0.0) 1D022E69-B1C9-3507-92EA-75B139AE570B <124 123 38 7 6 3 1>
  126    0 0xffffff8001e1b000 0x7000     0x7000     com.apple.driver.usb.cdc.ncm (5.0.0) C15EE936-099F-35B5-A64F-A2B5C3B0B84C <125 124 123 53 49 38 8 7 6 3 1>
  127    0 0xffffff8001e03000 0x2ff8     0x2ff8     com.apple.driver.usb.cdc.ecm (5.0.0) 786D6452-BC91-3F9E-82A6-71CF11FFDFDB <125 124 53 38 37 7 6 3 1>
  128    0 0xffffff8002e7b000 0x6ffe     0x6ffe     com.apple.driver.usb.IOUSBHostHIDDevice (1.2) 8C238394-C2BA-36E6-914B-62FF4360D675 <60 38 36 7 6 3 1>
  129    2 0xffffff7f95227000 0x10000    0x10000    com.apple.driver.AppleOnboardSerial (1.0) 701FF70D-62E7-3950-AF25-5E812AD2C18D <71 55 9 7 6 3 1>
  130    1 0xffffff7f951e6000 0x2000     0x2000     com.apple.driver.AppleIntelLpssUARTCommon (3.0.60) 450DE170-BA38-3709-8B6F-680481702C85 <129 71 18 17 9 7 6 3 1>
  131    0 0xffffff7f951ed000 0xff4      0xff4      com.apple.driver.AppleIntelLpssUARTv1 (3.0.60) A62E5021-E47D-3FE4-A002-72626CC340A6 <130 129 71 18 17 9 7 6 3 1>
  132    1 0xffffff7f9528f000 0x6ff9     0x6ff9     com.apple.driver.AppleSMBusController (1.0.18d1) 59615EB5-995C-3BC8-804B-F7D35BEBE0F3 <61 18 17 7 6 3>
  133   15 0xffffff7f956c4000 0x2efea    0x2efea    com.apple.iokit.IOGraphicsFamily (599) CA8B49BC-3655-312C-91AA-FB848251C78E <18 9 7 6 3 1>
  134    0 0xffffff7f95212000 0xb000     0xb000     com.apple.driver.AppleMCCSControl (1.17) C301587D-E0EF-3CC8-A5E3-F3F6A8C39999 <133 132 19 18 17 9 7 6 3 1>
  135    6 0xffffff7f95727000 0x3ffd     0x3ffd     com.apple.driver.IOPlatformPluginFamily (6.0.0d8) 7A59878B-5F84-35FD-95D1-60EB4EC0C59E <17 9 8 7 6 3>
  136    0 0xffffff7f95203000 0x4000     0x4000     com.apple.driver.AppleIntelPCHPMC (2.0.1) 96BBD89D-DFC8-3A59-8BC0-78C211264EE0 <135 19 18 17 6 3>
  137    6 0xffffff7f94ae3000 0x4000     0x4000     com.apple.AppleGraphicsDeviceControl (8.1.10) 4ACC3A7E-A0A4-382F-B9B6-839CDB01BA5B <133 18 9 8 7 6 3 1>
  138    2 0xffffff7f9552c000 0x69ffc    0x69ffc    com.apple.iokit.IOAcceleratorFamily2 (485) 65CEB805-D326-3F15-9595-F6EC0A6D78DA <133 106 49 27 18 9 8 7 6 3 1>
  139    0 0xffffff7f94d6b000 0xa6ff2    0xa6ff2    com.apple.driver.AppleIntelCFLGraphicsFramebuffer (23.0.7) 0081DB14-7739-36A5-8FCB-63C4F0537B44 <138 137 133 49 18 17 9 8 7 6 3 1>
  141    1 0xffffff7f957c7000 0x7d000    0x7d000    com.apple.plugin.IOgPTPPlugin (1340.12) 3E578327-71B9-3584-A6D4-94A80DD23FE0 <60 56 55 53 13 8 7 6 3 1>
  142    0 0xffffff7f958ac000 0x6000     0x6000     com.apple.driver.driverkit.serial (6.0.0) 96FDEEAA-CC2C-30D5-AD52-B05980F571D8 <71 7 6 3 1>
  144    4 0xffffff7f95718000 0x8ffc     0x8ffc     com.apple.iokit.IONDRVSupport (599) 658C49F6-D61A-3AEB-BC56-B8EF5D1A1424 <133 18 9 7 6 3>
  145    2 0xffffff7f949e7000 0x2000     0x2000     com.apple.driver.AppleBacklightExpert (180.12) 90C782B6-6A93-3276-B846-89E6AB8B3DED <144 133 19 18 7 6 3>
  146    0 0xffffff7f949e1000 0x2ff3     0x2ff3     com.apple.driver.AppleBacklight (180.12) 0B8DBC7F-1E61-36E7-9AA6-65A9D58F61E2 <145 144 133 18 7 6 3>
  147    1 0xffffff7f95754000 0x12ffa    0x12ffa    com.apple.driver.X86PlatformPlugin (1.0.0) 0A8DC667-EE07-38E1-A8F7-07643AEC1C1E <135 38 19 17 9 8 7 6 3 1>
  148    1 0xffffff7f95744000 0x9000     0x9000     com.apple.driver.IOPlatformPluginLegacy (1.0.0) E3F539D0-5A91-3E89-8387-5713D7C6AFCD <135 17 9 8 7 6 3>
